obscd,obsnm,sbsncd,mngorg
1001602,평창군(송정교),100108,환경부
1001603,태백시(무사교),100101,한국수자원공사
1001605,송천1교,100105,한국수력원자력
1001607,삼척시(번천교),100101,한국수자원공사
1001613,삼척시(광동교),100102,한국수자원공사
1001615,삼척시(갈밭교),100102,한국수자원공사
1001620,정선군(송계교),100103,환경부
1001622,정선군(혈천교),100102,환경부
1001625,정선군(송천교),100106,환경부
1001626,정선군(제1여량교),100107,환경부
1001629,정선군(남평대교),100107,환경부
1001630,정선군(나전교),100109,환경부
1001645,정선군(와평교),100111,환경부
1001649,정선군(애산교),100111,환경부
1001655,정선군(정선제1교),100112,환경부
1001658,정선군(광하교),100112,환경부
1001660,정선군(낙동교),100114,환경부
1001670,영월군(거운교),100117,환경부
1001683,영월군(삼옥교),100117,한국수자원공사
1001690,영월군(영월대교),100117,환경부
1002605,평창군(이목정교),100201,환경부
1002610,평창군(장평교),100201,환경부
1002615,평창군(백옥포교),100201,환경부
1002625,평창군(선애교),100202,환경부
1002635,평창군(사초교),100203,환경부
1002640,평창군(상방림교),100205,환경부
1002650,평창군(평창교),100206,환경부
1002655,영월군(판운교),100206,한국수자원공사
1002675,횡성군(안흥교),100208,환경부
1002680,영월군(두학교),100209,환경부
1002685,영월군(주천교),100210,환경부
1002687,영월군(신천교),100210,환경부
1002695,영월군(북쌍리),100213,한국수자원공사
1002698,영월군(팔괴교),100213,환경부
1003605,영월군(충혼교),100303,환경부
1003620,영월군(옥동교),100305,환경부
1003630,단양군(오사리),100306,한국수자원공사
1003636,단양군(가대교),100307,환경부
1003642,단양군(덕천교),100310,환경부
1003644,상진교,100310,한국수자원공사
1003645,단양군(단양1교),100309,환경부
1003646,우화교,100311,한국수자원공사
1003655,제천시(물태리),100319,한국수자원공사
1003658,제천시(부수동교),100316,환경부
1003660,제천시(팔송교),100313,환경부
1003661,제천시(구곡교),100315,환경부
1003662,명서교,100319,한국수자원공사
1003664,충주본댐우안,100319,한국수자원공사
1004620,청주시(옥화1교),100403,환경부
1004630,고성교,100403,한국수력원자력
1004635,후영교,100406,한국수력원자력
1004645,괴산군(수전교),100409,환경부
1004646,괴산군(비도교),100407,환경부
1004670,괴산군(추산교),100410,환경부
1004680,충주시(문강교),100412,환경부
1004685,팔봉교,100411,한국수자원공사
1004690,충주시(향산리),100414,한국수자원공사
1004693,괴산군(목도교),100409,환경부
1004695,충주시(국원대교),100413,환경부
1005605,충주시(탄금교),100414,환경부
1005640,충주시(목계교),100502,환경부
1005695,원주시(법천교),100505,환경부
1005697,원주시(남한강대교),100505,환경부
1006610,횡성군(율동리),100601,한국수자원공사
1006630,횡성군(오산교),100603,환경부
1006650,횡성군(횡성교),100605,환경부
1006660,횡성군(전천교),100604,환경부
1006665,원주시(원주교),100606,환경부
1006670,원주시(옥산교),100605,환경부
1006672,원주시(장현교),100608,환경부
1006680,원주시(지정대교),100608,환경부
1006690,원주시(문막교),100610,환경부
1007604,안성시(한평교),100701,환경부
1007605,이천시(장호원교),100705,환경부
1007610,음성군(총천교),100704,환경부
1007615,여주시(원부교),100706,환경부
1007617,여주시(삼합교),100706,환경부
1007620,여주시(강천리),100706,환경부
1007625,여주시(남한강교),100706,환경부
1007633,강천보(상류),100706,환경부
1007634,강천보(하류),100708,환경부
1007635,여주시(여주대교),100709,환경부
1007639,여주보(상류),100709,환경부
1007640,여주시(율극교),100711,환경부
1007641,여주보(하류),100710,환경부
1007645,이천시(복하교),100713,환경부
1007650,여주시(흥천대교),100714,환경부
1007655,여주시(양촌교),100710,환경부
1007662,이포보(상류),100710,환경부
1007664,이포보(하류),100715,환경부
1007680,양평군(흑천교),100717,환경부
1007685,양평군(양평교),100718,환경부
1007690,양평군(봉상교),100717,환경부
1007697,양평군(신원리),100719,환경부
1009652,화천군(평화나래교),100903,한국수자원공사
1010630,약수교,101004,한국수력원자력
1010635,하리교,101004,한국수력원자력
1010640,양구군(각시교),101003,한국수자원공사
1010642,남전교,101003,한국수력원자력
1010660,화천군(화천댐),101006,환경부
1010670,화천군(오작교),100903,한국수자원공사
1010677,용신교,101008,한국수력원자력
1010680,화천군(화천대교),101009,한국수자원공사
1010684,오탄교,101009,한국수력원자력
1010690,춘천시(춘천댐),101011,환경부
1010695,춘천시(춘천댐하류),101012,환경부
1011620,인제군(반월촌교),101102,환경부
1011650,인제군(어두원교),101103,한국수자원공사
1011690,인제군(월학리),101103,한국수자원공사
1011693,인제군(도리촌교),101104,한국수자원공사
1011695,인제군(리빙스턴교),101104,환경부
1012630,인제군(왕성동교),101201,환경부
1012635,인제군(양지교),101202,환경부
1012640,인제군(현리교),101204,환경부
1012645,인제군(하죽천교),101205,환경부
1012650,인제군(원대교),101205,한국수자원공사
1012670,인제군(양구대교),101206,한국수자원공사
1012685,춘천시(천전리),101208,환경부
1012688,지내,101208,한국수자원공사
1013620,목동교,101306,한국수력원자력
1013637,춘천시(소양2교),101302,환경부
1013645,춘천시(강촌교),101304,환경부
1013655,가평군(가평교),101306,환경부
1014620,홍천군(용선교),101402,환경부
